d1x,d1y,d1z,d2x,d2y,d2z,d3x,d3y,d3z,d4x,d4y,d4z,d5x,d5y,d5z,d6x,d6y,d6z,d7x,d7y,d7z,d8x,d8y,d8z,d9x,d9y,d9z,d10x,d10y,d10z,d11x,d11y,d11z,d12x,d12y,d12z,d13x,d13y,d13z,d14x,d14y,d14z,d15x,d15y,d15z,d16x,d16y,d16z,d17x,d17y,d17z,d18x,d18y,d18z,d19x,d19y,d19z,d20x,d20y,d20z,C
-0.10366565,0.064406842,0.002555628,-0.178799957,0.175159007,-0.031976387,-0.237618744,0.269634575,-0.050577988,-0.304730535,0.302319437,-0.078765184,-0.091185987,0.25489676,-0.185501777,-0.07267338,0.458463758,-0.195835583,-0.064435422,0.581236869,-0.209998929,-0.051783562,0.670083731,-0.232242369,-0.007582843,0.260894179,-0.173647978,-0.011212766,0.422844499,-0.119707794,-0.03695184,0.379432768,-0.041994263,-0.047678173,0.312588841,-0.026795203,0.064927995,0.247880042,-0.154858403,0.042789638,0.378145188,-0.090583526,0.015130401,0.339023799,-0.025031584,0.006227493,0.279595166,-0.017768113,0.122717977,0.224788755,-0.134915628,0.095674872,0.326938361,-0.086921178,0.073201835,0.29042986,-0.04507712,0.068713009,0.237664849,-0.041835268,0
0.10366565,0.064406842,0.002555628,0.178799957,0.175159007,-0.031976387,0.237618744,0.269634575,-0.050577988,0.304730535,0.302319437,-0.078765184,0.091185987,0.25489676,-0.185501777,0.07267338,0.458463758,-0.195835583,0.064435422,0.581236869,-0.209998929,0.051783562,0.670083731,-0.232242369,0.007582843,0.260894179,-0.173647978,0.011212766,0.422844499,-0.119707794,0.03695184,0.379432768,-0.041994263,0.047678173,0.312588841,-0.026795203,-0.064927995,0.247880042,-0.154858403,-0.042789638,0.378145188,-0.090583526,-0.015130401,0.339023799,-0.025031584,-0.006227493,0.279595166,-0.017768113,-0.122717977,0.224788755,-0.134915628,-0.095674872,0.326938361,-0.086921178,-0.073201835,0.29042986,-0.04507712,-0.068713009,0.237664849,-0.041835268,0
-0.103903532,0.060109228,0.000334955,-0.181454629,0.169480294,-0.037869494,-0.242031276,0.262263596,-0.059119128,-0.308432937,0.298296988,-0.090916015,-0.09302032,0.254300863,-0.192295685,-0.076646626,0.454249978,-0.206441015,-0.068279684,0.576120555,-0.220088184,-0.05539149,0.665995955,-0.241567671,-0.008627236,0.259673268,-0.180654272,-0.01133728,0.420241296,-0.128951281,-0.036171913,0.37698859,-0.050093978,-0.046568394,0.311138272,-0.033548526,0.065077782,0.244075418,-0.162051335,0.044777036,0.371180296,-0.099584162,0.017348528,0.330567718,-0.035014875,0.007616282,0.270808518,-0.029307542,0.123138785,0.217874587,-0.142446667,0.0980618,0.312454045,-0.093872189,0.077341795,0.273312986,-0.052824907,0.073131919,0.2205998,-0.051354609,0
0.103903532,0.060109228,0.000334955,0.181454629,0.169480294,-0.037869494,0.242031276,0.262263596,-0.059119128,0.308432937,0.298296988,-0.090916015,0.09302032,0.254300863,-0.192295685,0.076646626,0.454249978,-0.206441015,0.068279684,0.576120555,-0.220088184,0.05539149,0.665995955,-0.241567671,0.008627236,0.259673268,-0.180654272,0.01133728,0.420241296,-0.128951281,0.036171913,0.37698859,-0.050093978,0.046568394,0.311138272,-0.033548526,-0.065077782,0.244075418,-0.162051335,-0.044777036,0.371180296,-0.099584162,-0.017348528,0.330567718,-0.035014875,-0.007616282,0.270808518,-0.029307542,-0.123138785,0.217874587,-0.142446667,-0.0980618,0.312454045,-0.093872189,-0.077341795,0.273312986,-0.052824907,-0.073131919,0.2205998,-0.051354609,0
-0.103322268,0.063974798,0.002146532,-0.178682685,0.174261749,-0.033310171,-0.236872017,0.269654512,-0.051534724,-0.302918494,0.304168403,-0.079455704,-0.088128269,0.257010102,-0.187572874,-0.073685586,0.459320128,-0.197759368,-0.066889882,0.581195652,-0.208837681,-0.055031896,0.671056807,-0.229929455,-0.004068255,0.262109101,-0.175509863,-0.00869447,0.42111069,-0.120390892,-0.033394694,0.374944866,-0.042146813,-0.043247998,0.307714403,-0.026262956,0.068836331,0.246523321,-0.156437256,0.048157692,0.372565985,-0.091660828,0.020929992,0.330564737,-0.02961665,0.011854589,0.271339417,-0.025080189,0.126064956,0.220531791,-0.135891818,0.103035152,0.315313101,-0.087242827,0.083257377,0.275277138,-0.048651826,0.079926133,0.222958833,-0.048536778,0
0.103322268,0.063974798,0.002146532,0.178682685,0.174261749,-0.033310171,0.236872017,0.269654512,-0.051534724,0.302918494,0.304168403,-0.079455704,0.088128269,0.257010102,-0.187572874,0.073685586,0.459320128,-0.197759368,0.066889882,0.581195652,-0.208837681,0.055031896,0.671056807,-0.229929455,0.004068255,0.262109101,-0.175509863,0.00869447,0.42111069,-0.120390892,0.033394694,0.374944866,-0.042146813,0.043247998,0.307714403,-0.026262956,-0.068836331,0.246523321,-0.156437256,-0.048157692,0.372565985,-0.091660828,-0.020929992,0.330564737,-0.02961665,-0.011854589,0.271339417,-0.025080189,-0.126064956,0.220531791,-0.135891818,-0.103035152,0.315313101,-0.087242827,-0.083257377,0.275277138,-0.048651826,-0.079926133,0.222958833,-0.048536778,0
-0.103488624,0.062788844,-0.00239094,-0.18247357,0.169482619,-0.0445859,-0.244344354,0.261501312,-0.069443149,-0.30846408,0.299563825,-0.103753401,-0.092404604,0.256439447,-0.195049224,-0.077413797,0.459696174,-0.207602261,-0.068675518,0.581016302,-0.2207503,-0.056300402,0.667854428,-0.243968306,-0.00750941,0.260623276,-0.184943123,-0.010879934,0.416629553,-0.134433029,-0.03193897,0.369596303,-0.061727801,-0.040492892,0.300949335,-0.051124485,0.066771924,0.242734611,-0.167958749,0.047901094,0.365107536,-0.105659997,0.024915457,0.322624862,-0.048495403,0.016464114,0.262931406,-0.048928937,0.125957012,0.214185536,-0.150217531,0.103577554,0.308047652,-0.102296194,0.086037219,0.266530156,-0.065821854,0.082594514,0.213963151,-0.068119308,0
0.103488624,0.062788844,-0.00239094,0.18247357,0.169482619,-0.0445859,0.244344354,0.261501312,-0.069443149,0.30846408,0.299563825,-0.103753401,0.092404604,0.256439447,-0.195049224,0.077413797,0.459696174,-0.207602261,0.068675518,0.581016302,-0.2207503,0.056300402,0.667854428,-0.243968306,0.00750941,0.260623276,-0.184943123,0.010879934,0.416629553,-0.134433029,0.03193897,0.369596303,-0.061727801,0.040492892,0.300949335,-0.051124485,-0.066771924,0.242734611,-0.167958749,-0.047901094,0.365107536,-0.105659997,-0.024915457,0.322624862,-0.048495403,-0.016464114,0.262931406,-0.048928937,-0.125957012,0.214185536,-0.150217531,-0.103577554,0.308047652,-0.102296194,-0.086037219,0.266530156,-0.065821854,-0.082594514,0.213963151,-0.068119308,0
-0.105320394,0.0670591,-0.003489756,-0.183826417,0.177635521,-0.04329028,-0.244943887,0.270311207,-0.061372019,-0.311205685,0.308251232,-0.087182384,-0.092257977,0.257058054,-0.205039803,-0.080330074,0.459763318,-0.227935392,-0.075501561,0.58301118,-0.245782781,-0.065695405,0.674039334,-0.268400196,-0.006274462,0.262357801,-0.190214265,-0.014735579,0.428026825,-0.141646076,-0.039870501,0.384240717,-0.060442239,-0.049191654,0.316419035,-0.042223844,0.067193151,0.247645825,-0.168535787,0.042770624,0.379478782,-0.107439581,0.014321864,0.33764711,-0.037625909,0.00605607,0.27636078,-0.026134768,0.125152051,0.221665502,-0.147053961,0.095688403,0.322370619,-0.093701456,0.07155937,0.283184558,-0.046562046,0.066887736,0.229655266,-0.040708463,0
0.105320394,0.0670591,-0.003489756,0.183826417,0.177635521,-0.04329028,0.244943887,0.270311207,-0.061372019,0.311205685,0.308251232,-0.087182384,0.092257977,0.257058054,-0.205039803,0.080330074,0.459763318,-0.227935392,0.075501561,0.58301118,-0.245782781,0.065695405,0.674039334,-0.268400196,0.006274462,0.262357801,-0.190214265,0.014735579,0.428026825,-0.141646076,0.039870501,0.384240717,-0.060442239,0.049191654,0.316419035,-0.042223844,-0.067193151,0.247645825,-0.168535787,-0.042770624,0.379478782,-0.107439581,-0.014321864,0.33764711,-0.037625909,-0.00605607,0.27636078,-0.026134768,-0.125152051,0.221665502,-0.147053961,-0.095688403,0.322370619,-0.093701456,-0.07155937,0.283184558,-0.046562046,-0.066887736,0.229655266,-0.040708463,0
